,City,Country,Max Temp,Lat,Lng,Description,Hotel Name
367,Amarante Do Maranhao,BR,82.0,-5.5667,-46.7422,overcast clouds,Hotéis Caçulinha
368,Kokopo,PG,76.93,-4.352,152.2633,broken clouds,Kokopo Beach Bungalow Resort
369,Cedar City,US,63.57,37.6775,-113.0619,clear sky,Hampton Inn Cedar City
370,Puerto Penasco,MX,75.9,31.3167,-113.5333,clear sky,Playa Bonita Resort
375,Paita,PE,77.56,-5.0892,-81.1144,broken clouds,Hotel Náutico de Paita
376,Nawabganj,BD,68.22,24.5911,88.271,few clouds,দা সফ্‌ট আইটি
378,Phalaborwa,ZA,81.68,-23.943,31.1411,scattered clouds,Bothabelo Bed and Breakfast
379,Buala,SB,79.99,-8.145,159.5921,light rain,Maringe Lagoon Lodge
380,Sheridan,US,71.31,44.8333,-106.9173,clear sky,Comfort Inn & Suites
382,Minab,IR,81.9,27.1467,57.0801,clear sky,Bam campground
384,Banyo,CM,70.14,6.75,11.8167,broken clouds,Motel JOMBA
385,Padilla,CO,83.89,3.2204,-76.3139,broken clouds,La Granadina
388,Sabang,ID,81.27,5.8933,95.3214,light rain,Hotel Citra
389,Hurghada,EG,76.32,27.2574,33.8129,clear sky,Sea Star Beau Rivage Hotel
390,Dzhubga,RU,60.98,44.3211,38.7039,broken clouds,Paradise
391,Constitucion,CL,62.01,-35.3333,-72.4167,clear sky,Hotel Boutique Las Azucenas
392,Nepomuceno,BR,82.4,-21.2358,-45.2358,scattered clouds,Hotel Menezes
393,Russell,US,61.88,32.3502,-85.1999,overcast clouds,Macs
395,Kontagora,NG,82.13,10.3999,5.4695,clear sky,Queens Guest Inn
397,Garachine,PA,79.32,8.0647,-78.3628,overcast clouds,
398,Robertsport,LR,81.23,6.7533,-11.3686,clear sky,Kwepunha Retreat
400,Remedios,CU,81.52,22.4947,-79.5458,light rain,Hostal Yunai
404,Flagstaff,US,66.43,35.1981,-111.6513,clear sky,Drury Inn & Suites Flagstaff
406,Mount Isa,AU,73.17,-20.7333,139.5,light rain,ibis Styles Mt Isa Verona
411,Los Lunas,US,69.58,34.8062,-106.7334,clear sky,Western Skies Inns & Suites
413,Padang,ID,76.59,-0.9492,100.3543,overcast clouds,Mercure Padang
414,El Salto,MX,77.9,20.3333,-104.5,broken clouds,ramirez
416,Erzin,TR,63.32,36.9559,36.2,clear sky,Artemis Otel
417,Menongue,AO,72.91,-14.6585,17.691,overcast clouds,Ritz Lauca
419,Harqalah,TN,68.59,36.0303,10.509,few clouds,Dar Khadija
420,Riyadh,SA,73.54,24.6877,46.7219,clear sky,"InterContinental Riyadh, an IHG Hotel"
422,Resplendor,BR,82.94,-19.3256,-41.2553,scattered clouds,Pousada Bixu de Pé
423,Illapel,CL,71.47,-31.6308,-71.1653,overcast clouds,Hotel Londres
427,Mitu,CO,81.59,1.1983,-70.1733,overcast clouds,
436,Sambava,MG,74.05,-14.2667,50.1667,overcast clouds,Melrose
438,Gwadar,PK,77.99,25.1216,62.3254,clear sky,Sadaf Resort
440,Faya,SA,60.91,18.3851,42.4509,clear sky,املاك خالد الشعشوع
443,Bardiyah,LY,73.8,31.7561,25.0865,clear sky,بورتو بردية
447,Bolobo,CD,72.86,-2.1667,16.2333,overcast clouds,Hotel de Stephen
449,Matamoros,MX,71.71,25.5333,-103.25,scattered clouds,Quinta Belem
451,Laredo,US,60.8,27.5064,-99.5075,overcast clouds,La Posada Hotel
452,Katubao,PH,79.74,5.8892,124.8294,broken clouds,IML Ecopark
454,Montepuez,MZ,75.2,-13.1256,38.9997,clear sky,PembaAparthotel
456,Ojinaga,MX,67.57,29.5667,-104.4167,broken clouds,Suites Las Palmas
457,Sola,VU,78.71,-13.8833,167.55,broken clouds,Leumerus Bungalows
458,Bitung,ID,76.05,1.4451,125.1824,heavy intensity rain,K2 Lembeh
464,Nelson Bay,AU,66.99,-32.7167,152.15,overcast clouds,Mantra Nelson Bay
471,Labuhan,ID,78.62,-6.8844,112.2051,overcast clouds,PT PPI Lamongan Tambak C
473,Poli,TZ,65.37,-3.3333,36.8,broken clouds,Urafiki House
